0,1,2,3,4,5,6,7,8,9
183,19,17,15,15,267,0,3306,54922,491
183,18,17,16,16,267,0,323,51615,541
183,19,18,17,16,268,0,287,52023,513
183,17,16,15,15,269,0,3306,54922,510
183,17,16,16,16,269,0,3306,54922,512
183,19,18,18,18,269,0,324,51666,594
183,19,17,16,16,269,0,287,52023,559
183,18,17,17,17,269,0,3306,54922,515
183,17,16,16,16,270,0,323,51615,595
183,18,17,17,17,270,0,288,52000,400
183,19,17,16,16,270,0,3306,54922,506
184,18,17,16,16,271,0,3306,54922,547
184,19,18,17,17,271,0,3306,54922,544
184,19,17,16,16,271,0,3306,54922,546
184,19,17,16,15,271,0,288,52000,389
184,18,18,18,17,272,0,287,52023,587
184,19,18,17,17,272,0,324,51666,35
184,19,19,19,19,272,1,287,52023,583
184,19,17,16,16,273,0,323,51615,628
184,17,16,16,16,273,0,287,52023,632
184,19,18,18,18,273,0,324,51666,623
184,17,16,15,15,274,0,288,52000,430
184,19,18,18,18,274,0,288,52000,421
184,18,17,16,16,274,0,2558,54140,356
184,19,18,18,18,274,0,3306,54922,595
184,19,17,16,15,274,0,288,52000,437
184,18,17,16,16,274,0,287,52023,637
184,17,16,15,15,275,0,2558,54140,358
184,17,16,16,16,275,0,3306,54922,632
184,18,17,16,16,275,0,2558,54140,349
184,19,17,16,16,275,0,288,52000,474
184,19,18,17,17,275,0,288,52000,471
184,18,17,16,16,276,0,2558,54140,341
184,17,16,16,16,276,0,2568,54153,383
184,19,18,17,17,276,0,2558,54140,355
184,18,17,16,16,276,0,2558,54140,387
184,18,16,16,15,276,0,2558,54140,386
184,19,17,15,15,276,0,288,52000,479
184,18,17,16,16,277,0,2558,54140,395
184,17,16,16,16,277,0,2558,54140,400
185,18,17,17,17,277,0,3846,55327,160
185,18,17,16,16,277,0,2558,54140,390
185,18,17,16,16,277,0,2558,54140,397
185,19,18,17,16,277,0,288,52000,496
185,19,17,16,16,277,0,288,52000,514
185,17,17,17,16,278,2,288,52000,516
185,18,18,17,17,278,0,2558,54140,431
185,19,17,15,15,278,0,288,52000,502
185,19,18,17,17,278,0,2568,54153,270
185,17,16,15,15,279,0,2558,54140,422
159,19,18,17,17,293,0,3771,55544,664
159,19,18,17,17,294,0,274,51913,229
159,19,18,17,17,294,0,274,51913,221
159,19,17,16,16,294,0,274,51913,186
159,19,18,18,18,295,0,3833,55290,98
160,19,17,16,16,295,0,274,51913,198
160,19,18,17,17,295,0,274,51913,184
160,18,17,17,17,296,0,274,51913,164
160,19,17,16,16,296,0,274,51913,163
160,19,17,16,16,297,0,275,51910,301
160,19,17,15,15,297,0,275,51910,291
160,19,17,15,15,298,0,275,51910,314
160,19,19,18,18,298,0,275,51910,281
160,19,18,17,17,298,0,275,51910,300
160,18,17,16,16,298,0,274,51913,144
160,19,17,16,16,298,0,274,51913,154
160,17,16,15,15,299,0,2559,54208,311
160,17,15,14,14,300,0,2559,54208,320
160,18,17,17,17,300,0,2559,54208,285
160,19,17,17,16,300,0,2559,54208,314
160,19,18,18,18,300,0,2569,54234,313
160,17,16,16,16,300,0,2389,54213,312
160,16,14,14,14,300,0,2559,54208,313
160,19,18,17,16,300,0,275,51910,261
160,17,16,16,16,301,0,2559,54208,300
160,17,15,14,14,301,0,275,51910,263
160,19,18,17,17,301,0,274,51913,65
